Lon,Lat,Clave,Edo,Est,Tmin,Tmax,Año,Mes
-93.74,16.67,CREDCINTALAPA,CHIS,Cred Cintalapa Chis. SMN*,17.5,30.9,2024,1
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,7.0,19.0,2024,1
-101.02,25.38,STOCL,COAH,Saltillo Coah.,6.1,20.4,2024,1
-103.45,25.54,TORCL,COAH,Observatorio de Torreï¿½n Coah.,7.7,24.9,2024,1
-103.47,25.54,CYTCL,COAH,Coyote Coah.,8.2,23.8,2024,1
-100.93,25.56,ARACL,COAH,Ramos Arizpe Aeropuerto Coah.,6.3,19.6,2024,1
-102.98,25.76,SPECL,COAH,San Pedro Coah.,4.9,23.1,2024,1
-100.62,27.52,VCRCL,COAH,Venustiano Carranza Coah.,4.2,19.2,2024,1
-101.12,27.85,SBNCL,COAH,Sabinas Coah.,3.9,18.2,2024,1
-100.95,29.03,SMGCL,COAH,San Miguel Coah.,4.5,17.5,2024,1
-100.95,29.33,CDACL,COAH,Ciudad Acuï¿½a Coah.,3.0,19.3,2024,1
-101.06,29.45,AMSCL,COAH,Internacional La Amistad Coah.,4.0,16.7,2024,1
-101.02,25.38,SALCL,COAH,Observatorio de Saltillo Coah.,6.1,21.4,2024,1
-100.95,27.52,VCARRANZA,COAH,Venustiano Carranza Coah. SMN*,5.6,20.3,2024,1
-101.33,27.92,NUEVAROSITA,COAH,Nueva Rosita Coah. SMN*,2.5,20.1,2024,1
-100.92,25.44,ESLCL,COAH,Secretarï¿½a de Agricultura Saltillo Coah.,6.3,20.9,2024,1
-101.42,26.91,MCVCL,COAH,Observatorio de Monclova Coah.,7.1,21.5,2024,1
-100.53,28.71,PNGCL,COAH,Observatorio de Piedras Negras Coah.,4.6,18.2,2024,1
-101.12,29.15,CBRCL,COAH,Cabeceras Coah.,2.8,16.8,2024,1
-100.93,25.55,MMIO,COAH,Aeropuerto Internacional de Saltillo Coah.*,7.3,20.1,2024,1
-103.4,25.56,MMTC,COAH,Aeropuerto Internacional de Torreï¿½n Coah.*,8.9,22.6,2024,1
-101.46,26.95,MMMV,COAH,Aeropuerto Internacional Venustiano Carranza Coah.*,7.7,20.3,2024,1
-100.54,28.63,MMPG,COAH,Aeropuerto Internacional de Piedras Negras Coah.*,5.3,18.3,2024,1
-100.66,26.84,CDLCL,COAH,Candela Coah.,6.4,18.9,2024,1
-102.06,26.98,CCGCL,COAH,Cuatro Ciï¿½negas Coah.,4.8,21.5,2024,1
